-35,17,15
71.875,137.5,9.375
-125,175,75
-87.5,-59.375,9.375
-12.5,118.75,18.75
-21.875,43.75,9.375
6.25,-125,18.75
6.25,-87.5,9.375
-31.25,156.25,18.75
25,-200,37.5
15.625,118.75,9.375
15.625,-78.125,9.375
-68.75,-106.25,18.75
25,175,75
-50,175,9.375
-87.5,-50,37.5
-50,250,150
-3.125,-87.5,9.375
-12.5,-12.5,18.75
-68.75,137.5,18.75
43.75,137.5,18.75
15.625,-87.5,9.375
62.5,-200,37.5
34.375,71.875,9.375
62.5,118.75,9.375
53.125,-125,9.375
-40.625,165.625,9.375
25,53.125,9.375
-3.125,6.25,9.375
6.25,-143.75,18.75
62.5,128.125,9.375
62.5,137.5,9.375
-87.5,-200,37.5
62.5,-50,37.5
-12.5,15.625,9.375
-87.5,-143.75,18.75
62.5,-87.5,37.5
-87.5,165.625,9.375
-40.625,175,9.375
6.25,43.75,9.375
-21.875,34.375,9.375
-12.5,43.75,18.75
6.25,15.625,9.375
6.25,-96.875,9.375
-21.875,53.125,9.375
-50,146.875,9.375
6.25,-162.5,18.75
-12.5,137.5,37.5
-12.5,-68.75,18.75
-21.875,118.75,9.375
-87.5,-12.5,37.5
-21.875,-68.75,9.375
6.25,-78.125,9.375
-50,137.5,9.375
62.5,6.25,9.375
-21.875,6.25,9.375
53.125,90.625,9.375
62.5,-162.5,37.5
-12.5,-50,9.375
62.5,25,9.375
62.5,165.625,9.375
15.625,15.625,9.375
-21.875,-59.375,9.375
62.5,-125,37.5
-78.125,25,9.375
25,34.375,9.375
53.125,118.75,9.375
-50,-78.125,9.375
53.125,109.375,9.375
-87.5,146.875,9.375
43.75,62.5,9.375
34.375,81.25,9.375
25,-162.5,37.5
15.625,62.5,9.375
43.75,128.125,9.375
62.5,15.625,9.375
62.5,156.25,9.375
-3.125,-78.125,9.375
43.75,-68.75,9.375
15.625,25,9.375
-21.875,137.5,9.375
15.625,109.375,9.375
-87.5,-87.5,9.375
6.25,25,9.375
25,90.625,9.375
-40.625,-78.125,9.375
34.375,53.125,9.375
34.375,62.5,9.375
15.625,34.375,9.375
43.75,81.25,9.375
-3.125,15.625,9.375
62.5,146.875,9.375
-12.5,25,9.375
-50,165.625,9.375
-21.875,25,9.375
-21.875,128.125,9.375
-50,-68.75,9.375
43.75,90.625,9.375
34.375,34.375,9.375
43.75,53.125,9.375
43.75,109.375,9.375
25,43.75,9.375
-12.5,100,9.375
-40.625,25,9.375
53.125,-3.125,9.375
6.25,118.75,9.375
6.25,100,9.375
-87.5,-153.125,9.375
34.375,100,9.375
-12.5,-40.625,9.375
-12.5,34.375,9.375
34.375,90.625,9.375
43.75,-78.125,9.375
15.625,90.625,9.375
43.75,71.875,9.375
43.75,-87.5,9.375
53.125,71.875,9.375
43.75,43.75,9.375
-31.25,6.25,9.375
6.25,-12.5,9.375
-3.125,25,9.375
43.75,100,9.375
53.125,34.375,9.375
6.25,34.375,9.375
-21.875,-78.125,9.375
34.375,43.75,9.375
-21.875,15.625,9.375
-40.625,146.875,9.375
53.125,43.75,9.375
53.125,62.5,9.375
43.75,-12.5,9.375
-3.125,34.375,9.375
25,-21.875,9.375
53.125,53.125,9.375
53.125,-12.5,9.375
34.375,118.75,9.375
-40.625,109.375,9.375
34.375,137.5,9.375
-12.5,109.375,9.375
15.625,100,9.375
53.125,-115.625,9.375
43.75,-125,9.375
53.125,81.25,9.375
-31.25,-59.375,9.375
25,100,9.375
-40.625,-59.375,9.375
-31.25,-50,9.375
34.375,15.625,9.375
43.75,-115.625,9.375
-40.625,15.625,9.375
25,128.125,9.375
15.625,-21.875,9.375
-31.25,146.875,9.375
25,109.375,9.375
25,-125,9.375
34.375,25,9.375
-31.25,-68.75,9.375
-40.625,128.125,9.375
25,118.75,9.375
6.25,-3.125,9.375
6.25,6.25,9.375
34.375,6.25,9.375
43.75,118.75,9.375
25,62.5,9.375
43.75,34.375,9.375
34.375,128.125,9.375
15.625,-12.5,9.375
34.375,-12.5,9.375
6.25,71.875,9.375
53.125,25,9.375
-21.875,-50,9.375
-40.625,118.75,9.375
15.625,81.25,9.375
25,81.25,9.375
53.125,15.625,9.375
53.125,6.25,9.375
25,25,9.375
25,-96.875,9.375
-40.625,-68.75,9.375
43.75,-96.875,9.375
34.375,-3.125,9.375
15.625,6.25,9.375
43.75,-106.25,9.375
43.75,15.625,9.375
34.375,109.375,9.375
34.375,-78.125,9.375
-31.25,109.375,9.375
15.625,71.875,9.375
-40.625,137.5,9.375
15.625,-3.125,9.375
15.625,-106.25,9.375
43.75,6.25,9.375
-87.5,-125,9.375
-31.25,15.625,9.375
-31.25,137.5,9.375
43.75,25,9.375
34.375,-96.875,9.375
-31.25,25,9.375
25,-87.5,9.375
25,71.875,9.375
25,-115.625,9.375
15.625,43.75,9.375
-78.125,34.375,9.375
43.75,-3.125,9.375
34.375,-115.625,9.375
25,-12.5,9.375
-31.25,128.125,9.375
-78.125,146.875,9.375
34.375,-106.25,9.375
-31.25,118.75,9.375
34.375,-87.5,9.375
-31.25,-78.125,9.375
25,6.25,9.375
-87.5,-68.75,9.375
25,-106.25,9.375
34.375,-125,9.375
-87.5,-96.875,9.375
-78.125,71.875,9.375
-87.5,-78.125,9.375
25,-3.125,9.375
15.625,53.125,9.375
-87.5,156.25,9.375
25,15.625,9.375
-78.125,156.25,9.375
